Id,consent,SII_1,SII_1_other,SII_1_reason,SII_2,SII_2_unit,SII_2_unit_other,SII_3_1,SII_3_2,SII_3_2_other,SII_3_1_sub,SII_3_2_sub,SII_4_1,SII_4_2,SII_4_2_other,LoginDate,LoginStartTime,LoginEndTime,LoginDate_Last,LoginStartTime_Last,LoginEndTime_Last,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_3_other_UREA,SII_6_4_UREA,SII_6_4_other_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_3_other_DAP,SII_6_4_DAP,SII_6_4_other_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_3_other_MOP,SII_6_4_MOP,SII_6_4_other_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_3_other_ZINC,SII_6_4_ZINC,SII_6_4_other_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK,SII_6_2_NPK,SII_6_3_NPK,SII_6_3_other_NPK,SII_6_4_NPK,SII_6_4_other_NPK,SII_7_1_NPK,SII_7_2_NPK,SII_7_3_NPK,FKT_1,FKT_2,FKT_3
B01V03F0069,1,1,,,30,1,,2,2,,0,,0,,,9-8-2018,11:54:14,11:55:49,,,,1,0,,,,,,,,,1,50,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,MAHITI BHU J SARAS CHHE PAN VARSHAAD VAGAR KM UPAGOY KARVI FAL SUKHAY CHHE VARSHAAD VAGAR.
B01V03F0070,1,1,,,2,2,,9,1,,0,,1,2,,17-8-2018,16:4:53,16:5:17,,,,1,0,,,,,,,,,1,3,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,
B01V03F0071,1,1,,,25,1,,2,2,,0,,0,,,9-8-2018,17:15:5,17:15:43,,,,1,0,,,,,,,,,1,1.5,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,
B01V03F0072,1,1,,,2,2,,7,2,,0,,1,2,,9-8-2018,11:32:50,11:34:31,9-8-2018,11:36:2,11:36:15,1,0,,,,,,,,,1,10,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0073,1,1,,,45,1,,12,1,,0,,1,2,,18-8-2018,11:55:34,11:56:35,,,,1,0,,,,,,,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,REPORTS VELA JOYIE CHE MAHITI SARI CHE PAN PAYA NA KHATAR NI MAHITI VADHARE JOYIE CHE
B01V03F0074,1,1,,,45,1,,7,1,,0,,1,2,,18-8-2018,15:44:46,15:46:40,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V03F0076,1,1,,,1,2,,20,1,,0,,1,1,,16-8-2018,10:3:57,10:5:17,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,NA
B01V03F0077,1,1,,,50,1,,10,1,,0,,1,2,,17-8-2018,12:16:4,12:17:31,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V03F0079,1,1,,,40,1,,5,2,,0,,1,2,,9-8-2018,15:56:11,15:57:58,,,,1,0,,,,,,,,,1,5,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0080,1,1,,,1,2,,2,1,,0,,1,2,,8-8-2018,12:13:48,12:15:41,,,,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,VARSHAAD THAY PACHI KHBAR PADE K SU KARVU KAPAS MA..
B01V03F0082,1,1,,,2,2,,5,1,,0,,0,,,20-8-2018,16:3:0,16:3:52,,,,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,REPORT NATHI AVIYO...REPORT AAVE TO KHBAR PADE K KAYU KHATAR AAPVU..
B01V03F0083,1,1,,,45,1,,15,1,,0,,1,1,,9-8-2018,11:38:55,11:39:25,,,,1,0,,,,,,,,,1,8,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,SEVA BAHU UPYOGI CHE
B01V03F0086,1,1,,,2,2,,7,2,,0,,1,2,,8-8-2018,10:7:13,10:9:41,,,,1,0,,,,,,,,,1,7,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,BAVU SARI CHE TAMARI MAHITI
B01V03F0087,1,1,,,30,1,,2,2,,,,0,,,8-8-2018,13:5:44,13:7:1,,,,1,0,,,,,,,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,NA
