uid,lat,lon
B04V55F1510,22.073088827802717,70.98643000006436
B04V55F1529,22.172464345079902,71.01878352604182
B04V55F1532,22.10099253872891,71.0524026672772
B04V55F1520,22.135348241865415,71.0193376556181
B04V55F1518,22.09806369019706,70.99850254853061
B04V55F1530,22.07592657890943,71.12809022674878
B04V55F1534,22.15908775377863,71.0709796137458
B04V55F1524,22.13719630367343,71.01325787357862
B04V55F1528,22.118257408842357,71.1143656045759
B04V55F1517,22.156572927833718,71.00681888506772
B04V55F1533,22.148025740765306,71.00013080081705
B04V55F1527,22.201071540576994,71.06482912158845
B04V55F1536,22.15646095355426,71.0541264982331
B02V22F0663,22.741860288843466,71.5236636985089
B02V22F0676,22.67058835559928,71.50609341087674
B02V22F0672,22.63595424545008,71.41587795001746
B02V22F0666,22.67388928511903,71.47624744572688
B02V22F0678,22.686877498179218,71.5689850081786
B02V22F0683,22.7092093873725,71.50181065869481
B02V22F0658,22.745795681961045,71.466819708672
B02V22F0654,22.66379502535432,71.40968831666612
B02V22F0652,22.705560575667942,71.51592101209143
B02V22F0673,22.629306051733618,71.42885323684855
B02V22F0665,22.617874523031013,71.4402686755937
B02V22F0682,22.680569761144888,71.48553103308844
B02V22F0664,22.743938336216154,71.41738316403179
B02V22F0656,22.725192718827245,71.47252761308165
B02V22F0677,22.698486508033305,71.4765235588778
B02V22F0674,22.70086274351435,71.45771140434678
B02V22F0680,22.675235062681033,71.49842987680414
B02V22F0667,22.66101006632353,71.56146914541202
B04V43F1233,22.150613813619184,71.01685132880229
B04V43F1221,22.1435112438541,71.05773839262493
B04V43F1224,22.231663648625325,70.96188196952724
B04V43F1223,22.204621955805337,71.03596076006484
B04V43F1234,22.17798736261214,71.03198814375357
B04V43F1225,22.183205685474146,71.01675936212949
B04V43F1240,22.165430892387317,70.97265689700137
B04V43F1248,22.20370879490877,71.0137823875838
B04V43F1227,22.171936764052717,70.9895721270713
B04V43F1237,22.171096402235637,71.04922885893666
B04V43F1230,22.17431477815608,71.06315017135651
B04V43F1238,22.225317475770805,71.06750265684818
B04V43F1243,22.203377538440947,70.96753371503314
B04V43F1231,22.22732847381581,71.10432382296217
B04V43F1239,22.12386074511933,71.0203362538466
B01V03F0070,22.43940326390552,71.57738091057031
B01V03F0077,22.41077463036444,71.53893979662166
B01V03F0084,22.469200978754312,71.55185418368512
B01V03F0076,22.450676814016706,71.57452378178775
